 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Ago/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"Total"
"24 Rio Grande do Norte";4607313,87;7546392,84;8235211,44;8739482,25;8840211,21;8335738,55;9037194,04;8398372,56;8978668,65;8422359,93;8479094,89;8015686,15;7483483,67;8437780,24;9069516,93;7554566,51;10120372,35;9739951,43;10171589,78;10280323,71;10436955,05;10498610,87;10294002,55;10749286,07;10156647,49;9673087,90;10803240,86;10764734,16;10872973,23;10115652,81;10209030,33;11111359,14;10908082,40;10178034,52;9879931,25;10523138,47;10328800,30;10602167,36;10944214,87;10695851,96;10910830,85;10831886,38;11213569,31;10441906,85;11806454,40;11304430,64;10397266,14;11524116,79;10414144,72;9607680,46;12444960,44;11386765,78;11325255,55;10244448,84;12109086,94;11994852,60;10807453,23;11070738,07;11068530,49;10098556,04;9976513,03;10080781,43;11058876,57;12509915,34;12586785,72;13155890,58;11975711,53;12383057,29;12737676,42;12852248,97;12162445,56;11174440,17;10776444,44;11862785,82;12284744,58;11626658,00;13603333,88;12661769,43;13550476,55;13178473,24;12024738,59;13401883,26;13464436,50;11222900,11;12863082,80;11377315,96;13451002,88;12837764,88;13557458,77;14185380,57;14637865,31;14818892,78;14369750,48;15014205,36;14276864,84;12104897,03;13825550,34;12451262,48;14498707,45;14548015,76;14857433,12;15337230,10;14633196,74;12765490,42;10466260,73;14523133,31;13500308,42;14816991,05;13639413,41;12346338,94;14056693,58;14236011,93;14785251,74;13704038,86;14728238,85;15395776,51;14686359,57;14487858,70;13504882,03;14275181,73;15043609,13;13747509,72;15481270,69;16189665,49;16160325,43;15691594,71;16990975,31;17026874,84;15662346,12;16600964,45;15927311,70;13194213,10;17794019,57;15622665,45;17916662,76;16911520,83;18301433,92;16638581,55;17306941,67;17991824,85;17514167,64;17451863,43;17904215,80;16398508,29;18009397,84;16844080,43;17554070,07;14681201,30;15268561,72;16891551,74;21106959,40;21952742,97;22052749,49;20479992,27;19471209,96;18779718,21;22249037,04;21157379,45;22607029,85;28846939,38;29579915,82;29359298,58;28845357,39;25035902,23;2219361303,14
"25 Paraíba";8580988,49;9050986,31;9587837,32;10066136,89;9716199,21;9773090,83;10147994,33;10227120,79;9997019,13;10089678,00;9781900,19;10771894,86;10670607,94;10652107,55;11671367,94;12225755,73;12895896,20;12675937,68;12735126,98;12443393,69;12836466,06;12613307,91;12650742,10;12280637,09;12525588,52;11855524,07;12907323,42;12906743,37;12966269,80;12824225,15;13480475,47;13461533,31;12617665,03;12426513,30;12218681,75;12483340,62;12016494,74;12129663,20;12523350,31;12114431,79;12273154,48;11591704,68;12333100,13;11854417,39;12515898,49;12139006,73;11789285,57;11908461,76;10862964,00;10938188,33;11782611,41;11756442,63;12223242,25;11293172,27;12254382,09;12372863,99;12749264,50;11828837,40;12239800,72;11409894,52;12463137,04;11377188,51;12887220,76;13268947,35;13620274,67;13045342,71;13146976,97;12801842,20;13466755,48;13248028,61;12382864,94;12645474,41;12750861,85;12202261,54;11680740,29;13417028,34;12502338,05;12694389,97;12779916,29;12884998,55;12798853,05;12577382,92;12234940,94;13493007,41;12467658,27;11364457,85;12471787,51;12425386,91;12266140,51;13083146,86;12840445,07;13068861,70;13128492,88;12734189,78;11078953,98;10866955,19;10361756,70;13323284,00;12777918,92;12801353,49;13082724,41;13134281,74;12318593,58;13468458,91;12981622,17;12387569,26;11914302,35;11772608,12;12329318,58;11853535,49;13674309,29;13314560,33;13700201,51;13159997,93;13638536,53;14384741,11;14567244,56;14498324,12;14324139,83;14044908,87;13390328,15;13501991,20;13878286,22;14332002,96;14462539,03;14955462,82;15190335,36;14921612,66;14182367,30;14611708,87;14392418,79;13681846,16;14814000,86;14483443,48;15140807,84;14871763,59;16670499,93;15385160,54;15480032,37;16058951,63;15491541,87;15220933,82;15378281,36;14358469,54;13696263,73;13902720,49;14038159,88;12817911,65;11803344,88;13769403,33;22182909,38;18764515,84;15553044,45;15961325,81;14545560,56;14405422,84;15636779,68;17331665,23;21338630,02;24025535,75;28425233,93;27978975,69;23748222,18;22309732,68;2188788395,92
"26 Pernambuco";11403623,74;18904396,46;23660941,60;27130576,90;25196067,96;25371427,25;25768522,20;27929558,11;26316978,44;24138999,86;24299985,54;28889594,85;24420215,24;25694500,78;28027801,72;28124855,87;30165896,77;29098914,67;29178265,31;29039649,39;29830297,64;30951801,75;30183759,61;28993178,66;27553051,24;25612797,15;28487566,24;30611316,90;30849637,40;29928917,19;28666601,27;31697421,54;29163612,18;31753015,74;32260468,18;30743686,99;29527768,57;29854687,97;29752238,89;33343510,43;33709174,26;32930871,31;34205179,94;34582027,49;32895730,66;35958571,16;32950840,03;32453186,25;32777230,17;31704370,84;32780559,65;35661909,22;35646949,92;36497236,28;35780077,62;35879387,75;35743834,06;35949759,72;37511590,90;35347120,46;36041439,95;36260128,85;38975512,55;40662871,47;43570016,39;42382225,81;43283018,71;44689358,50;44595522,02;46808921,67;41681638,80;46787526,26;42134251,26;42890659,19;41968137,76;44732915,79;47842465,34;46422011,67;47963913,00;47737752,15;50085041,21;49182617,41;49636894,67;44903611,22;45480983,42;44259342,83;46522987,07;47505263,99;49908309,90;50814370,53;47901279,14;49568448,50;47437723,40;45406987,96;49206835,44;44458843,29;46743697,25;45679325,99;48165690,89;47523943,67;49712726,51;49175148,98;50684313,05;50648416,69;49915310,34;49548705,66;46048477,82;48443650,47;48948675,93;46398076,87;52218309,38;49982062,74;55889048,05;55226700,55;55507812,96;53963171,99;53841423,08;53326245,68;51613919,85;52188293,75;51516814,81;47314422,55;53687339,30;52778100,77;56456841,02;54503133,70;56229957,28;55976702,98;53018333,98;53259932,92;50948167,44;50270715,52;53261347,89;49908794,29;52006949,33;51589120,14;57092286,69;54197125,00;56092233,18;55804926,07;55533743,89;58498328,40;55671141,31;52632597,39;56256195,06;51705977,00;52761344,05;39585764,03;47940314,97;52557110,03;61028465,83;63148569,03;58059876,28;53274722,99;63720733,72;58493655,52;70140658,76;63746142,44;71595702,96;85097304,60;100857822,93;103092794,72;93677963,34;83347480,67;7262932345,94
"27 Alagoas";4813217,67;6504989,59;6524591,44;6926297,01;7180618,40;7734011,73;7633910,23;7250091,96;7416149,08;7459297,29;7337265,40;7322188,83;6989493,15;7341138,23;8573200,34;9133801,06;9238007,72;8927214,07;8616746,42;8397435,62;8600996,34;9222059,65;8911634,24;8990209,90;9231640,98;7894489,35;8954561,62;10182321,93;9494810,07;8684996,54;9992847,55;9388814,03;9358240,27;8956239,73;9346021,29;9007173,08;9317451,28;9218409,07;8213947,33;9866228,70;9947819,72;9483185,88;10038494,07;9927885,78;10005553,89;10190741,68;9241022,91;11916019,18;8721070,28;9115045,27;9873463,84;9248879,92;10154048,32;10370666,40;10108763,80;9896596,22;9778691,08;9755936,80;8542931,46;9781317,95;8884982,59;9641619,39;10328369,08;10867300,66;11008919,55;10141067,54;12135944,10;10914851,76;11161374,83;12509110,98;10812036,13;11596536,74;10705083,68;9686452,80;9740207,08;10446456,14;10919669,49;10160550,65;11091636,25;11345280,92;10676967,37;11345227,98;11416461,22;10594648,23;11097466,51;11252058,71;11474928,22;11184631,18;12181327,34;11654536,37;12508946,40;11965751,09;12138461,05;11774674,16;10733803,56;11168418,04;11162037,06;11186466,18;11382225,02;10846232,24;11405843,22;12003564,20;12126728,68;12072396,62;12126027,66;11577657,31;11465388,58;11094791,67;11972434,15;11898192,93;12724598,83;12319075,15;12547032,30;12561529,29;13120388,78;13231800,08;12357145,22;12959232,68;12086008,61;12340397,55;12611480,12;12600233,30;12401732,59;13168079,30;13275630,42;12832515,55;13826203,98;13223758,86;14299812,20;13355490,52;13157521,99;12206420,22;12478159,06;13351322,04;13265606,57;12852265,13;13287884,06;13859301,38;14309441,20;13092024,37;13276489,67;13974785,15;12844527,38;13386152,65;13270462,59;12486270,00;12591156,74;11821894,24;11343496,86;12422639,88;14829800,70;16025286,27;14578665,35;14999839,97;14693000,12;14101276,85;13872364,33;14544612,71;18084064,84;21572074,26;24201565,78;22936433,87;23677638,64;19405787,89;1854479014,04
"28 Sergipe";2069998,73;2766069,31;3816653,56;3773959,68;3493248,89;4082573,14;4154573,14;3959633,33;3796829,51;3359719,93;2994289,68;3030323,58;2975954,30;3031353,00;4029562,69;4382404,67;5024260,19;4238323,55;4382872,55;4386561,70;4784205,87;4434564,79;4845566,05;4514512,68;4454639,17;3857359,13;4167977,34;5755998,85;6146664,63;4320547,37;5385430,85;5691038,85;5163240,63;4845392,64;5450791,80;4323137,28;5414495,53;4310861,81;5305884,76;5014158,96;4783133,34;4243539,75;5133776,20;5499417,40;4797268,60;5418855,09;4373263,80;4690909,06;5031368,00;4528159,60;5434290,99;6030934,01;5151106,87;5659867,62;5482623,04;5617386,82;5116121,17;5150277,58;4936835,24;4398236,67;4732876,05;5376737,34;6284447,91;6531685,22;5834186,46;4548094,64;6104476,06;5461855,05;5189136,55;5080337,67;4960050,90;4855691,90;4843378,23;5246328,76;5115544,43;5037958,33;5311433,41;5466242,54;5446839,70;4700337,96;5682230,07;5619254,82;5361193,67;5095265,97;5675819,42;5070351,30;5548057,08;6084712,89;6280651,27;5903151,99;6721449,43;6938985,71;6599202,88;6701714,26;6151778,75;5409501,64;6085465,38;5701277,09;6451162,43;6994452,19;7287280,14;6319846,47;7770013,20;12770823,23;4268742,54;4684584,45;5065259,44;5459097,69;5957610,16;5849022,38;6028171,09;5949684,06;6969295,10;6501257,83;6345703,51;7372588,95;6813258,24;7082359,32;6110064,99;5830956,80;6233999,88;5653346,26;6453148,53;7006429,00;7467337,65;6090402,40;7558788,88;7999650,86;7012940,96;7864419,28;7051905,84;6479307,97;7737130,40;7582902,28;7580003,43;7875333,46;8593200,61;7242711,48;7709589,10;7477483,76;7894531,36;8233007,06;7102991,29;6585635,65;7568829,04;7130213,01;6205031,92;6704309,30;6217807,72;6175456,50;8032454,45;9020356,14;8487483,37;9801672,73;9706668,04;9114520,61;9623913,59;10586824,66;10746907,43;12043106,04;14448851,27;16021649,12;15452727,58;11556610,22;999183532,04
"29 Bahia";16502402,19;22038098,86;26599003,46;30329080,75;33489017,65;36475323,80;37161533,72;36585492,86;35033539,29;32551587,40;29318746,53;35380136,71;31430551,03;33832486,10;38896862,19;39222481,37;38307555,98;38518356,19;40368367,66;41440346,39;42128409,36;40513738,08;40643814,94;39321924,01;38855697,46;36941435,03;41958004,90;42459306,52;40573938,80;37772345,20;40757262,71;43282929,30;40201833,55;41800085,13;40116464,58;38996950,44;39964920,14;38792285,77;41835345,96;43843441,13;40077707,35;40842730,40;45132217,43;43017169,00;43603813,48;43088442,12;44265462,40;40845917,92;40313277,76;40369328,90;47809949,58;44253587,08;45982096,75;44875102,12;45265647,36;46271078,21;43397278,18;46376785,97;42893500,72;39711303,18;39768464,00;37379599,56;42508474,68;47146160,61;48389839,70;46330771,28;51174080,50;50199490,35;48353658,86;50963877,87;45750869,51;44907920,90;49931174,48;46469647,06;46049732,22;46917953,64;47407850,59;46304683,85;51138450,75;51406047,95;52378696,17;52476114,55;47981930,98;47834407,56;49121253,12;44912567,89;50902177,12;47351387,53;50337189,39;49615725,27;51545294,55;54531211,68;54656865,40;54568954,59;53619982,29;47973804,43;49591864,81;46809305,78;51876657,95;52612596,04;52766850,73;51351843,94;53497106,51;54152090,93;55152876,74;54191153,02;48423424,11;47651983,63;49336986,41;49286956,06;52480599,25;49959817,30;53341756,07;55441088,80;47502198,24;47884434,26;55254380,90;60389636,55;54780834,29;48683869,92;52144207,06;50385496,99;52522894,79;54441517,35;55618678,41;52851312,83;57068019,37;57881048,08;55461450,98;58138783,98;57110885,23;52166525,87;55431708,57;49346281,95;55653947,86;59721303,21;58519401,34;56518642,17;60595343,45;62361188,89;58811459,68;58558803,54;57506663,73;55398261,09;58098938,20;55406979,06;58057087,03;49948369,92;51295360,65;56323237,75;68481088,15;67554193,30;64826328,38;65265007,36;69481741,85;69447861,16;64503895,91;66497916,58;82853011,86;94483862,32;94314546,09;105987090,51;109014614,18;88591200,90;8128006279,75
"31 Minas Gerais";36737238,40;56697837,35;64059540,45;62184039,43;65056121,15;76712211,09;68925478,49;68307340,19;68329088,32;69117383,52;63154745,26;70255505,48;74021122,32;73021317,88;77148693,25;76131264,67;80306674,06;77929683,71;83403104,12;81351801,06;78499224,10;79307965,61;81550623,59;77403040,75;80446880,45;74295255,88;82168499,93;82820258,96;83667186,07;83090415,21;84671994,18;84534623,81;82936525,26;83095046,73;84269273,32;85187929,92;82760400,85;82744695,69;85838288,83;87876901,93;88726314,99;87229770,93;93735987,91;92867145,57;91304978,92;90199316,62;88355854,30;88376903,62;90929523,30;84602061,82;95656258,21;89622720,97;97908232,25;95376238,87;97212221,00;98815577,72;96499214,99;97526053,94;91341123,41;91775262,06;96705927,01;90678754,07;97460762,65;99809212,99;101731565,96;101476546,24;107149713,01;105640288,36;103043524,63;107839630,85;103334245,85;100583947,59;107571562,60;100467639,49;103809764,21;99687502,26;117176329,77;106441344,86;114138561,22;111955613,41;111206270,57;112478531,89;110167648,04;101048269,33;105637190,39;103230652,92;105958898,56;107845700,63;111903702,98;112865130,06;114029373,17;110842207,66;114870805,61;109403053,59;107983245,16;107896491,80;107500863,63;103196213,56;112552426,54;108750200,47;111559108,90;117449268,01;114106964,76;115193039,87;111726919,62;107114938,34;107979313,83;116017987,18;112703203,77;105974890,69;117726819,72;109467878,08;118901436,08;115407430,49;118221813,37;122579690,41;115815376,49;115157501,25;115809103,39;114303511,64;115416538,34;110325489,26;119876969,00;120365675,42;121822736,57;121995263,31;126069509,07;124395848,96;123611916,02;121466838,02;116094096,53;117195854,03;125097783,80;118878547,03;123512926,82;126038514,17;130674020,02;124379990,29;133601640,87;131867531,34;126184392,94;133153954,35;123677586,55;124582228,61;129797311,00;121875601,73;116074832,99;108858199,19;108641948,82;114194654,36;136170214,82;140763412,46;144069955,79;146355079,96;143850257,64;143341377,79;153534085,68;155330206,11;176241364,59;194161498,21;204648171,04;217418108,06;210648455,04;193981333,55;17447603412,30
"32 Espírito Santo";4339410,10;7161614,50;8094150,27;8937863,38;8082598,03;10641762,55;10339985,47;10062869,80;10092552,76;9988060,04;9023341,29;11079681,20;9473489,45;10441548,72;11172065,94;11412567,10;12554566,04;11332957,00;11740519,72;12441095,97;12249512,93;12379937,10;11588596,91;10602681,67;12116048,71;11226583,66;11783493,92;11576757,56;12268163,84;11959637,09;12635541,15;12261592,31;12753027,54;12994391,80;12106115,03;13074392,00;12675311,69;11838314,61;13464439,82;13308054,59;13699461,48;13521851,11;13574076,09;14830026,29;13681289,09;14134685,22;13604175,04;13787776,37;13538136,59;13134389,77;14420409,90;14441434,81;13791028,36;14162545,33;14916625,90;14791491,58;15486717,56;14888262,49;14853479,52;14411248,91;15156927,02;14986021,26;15973275,41;15350118,54;15857439,46;15458285,85;16113877,86;15779128,70;16247393,18;15908048,93;16187837,74;15188971,71;15725175,86;15152515,23;15077454,51;15737671,21;17695331,11;16996874,78;17853914,30;17437785,97;17506126,99;18100217,50;17234413,98;16160160,06;15943409,29;16501929,04;17663196,91;16986773,30;17712596,53;17618987,02;19847521,89;18545827,51;16523564,28;18647145,55;19125657,93;17014449,12;19065406,11;18214907,91;18883422,32;19934429,66;19290388,81;20491746,64;20140720,10;21447798,32;20418950,35;19771194,96;19532637,00;20850590,06;20259204,75;19491348,95;20275666,97;20056594,31;21450443,73;21718469,41;21301394,15;20586295,25;20227478,98;21056062,35;21151797,77;20361697,38;21633113,45;19873424,12;19128159,85;20412528,12;21595055,63;19498852,75;19969036,88;20813600,14;19621073,68;21035982,18;18930543,59;19394723,90;20142156,49;19545576,44;19681035,52;19063334,86;22055876,44;20726621,66;23196585,40;22265996,58;21835111,15;22982447,57;21232530,16;22019598,46;22479732,41;20999342,37;21150872,82;20378840,70;23684024,78;23843057,09;27631960,10;26739717,47;31846009,36;29343544,43;26061805,58;28284069,79;33910445,72;34985956,97;39913902,85;45923125,80;44880494,98;42638956,12;45179292,57;36272642,70;2936739836,07
"33 Rio de Janeiro";19262626,17;23581216,45;36737369,70;36760526,66;36915283,58;39304088,37;41086393,21;42030697,89;40531502,85;38082346,12;32813633,51;41540932,67;37911230,09;38813037,38;41628037,83;40221974,40;44204814,59;41470430,42;45067840,46;46329125,44;42386599,67;42724920,43;44523066,17;40530764,48;38490283,72;41337884,10;45654879,99;42488792,22;48291349,49;46375609,78;48913633,53;49230280,51;46401129,85;46585679,61;45576946,42;44822408,69;44135118,51;43845334,86;46056472,79;46084515,77;47571103,09;46219767,61;47195888,27;46494743,17;45139926,40;45988013,76;45219406,08;47258928,96;41554897,84;41259881,03;47343017,90;44620754,58;47646515,00;48944818,62;50241954,64;50328486,98;46632500,73;48964847,20;44658763,04;42816347,85;44160979,51;43777479,48;46669240,23;46560524,37;50512414,00;47756442,48;51700111,97;51080546,48;50107032,97;48906798,19;48853910,61;47274986,65;47206542,88;48251892,92;46383638,84;49964350,78;52860946,27;49442675,41;55201083,34;56399857,91;54929749,53;55683209,36;51457176,66;48771674,14;50407843,10;51352930,81;54203996,22;54606777,98;55317430,18;54627392,88;59631422,07;55278779,29;56162841,04;56174090,83;54212541,53;52174209,86;52604526,38;50958409,07;54982722,01;52678527,12;51978825,60;52119330,89;55543173,39;55739916,39;53183235,73;52053925,47;51283378,77;54444084,68;50341492,24;51042354,30;56832807,20;53767951,46;59483961,72;57972024,64;60398414,00;62244875,03;57303920,26;58876275,85;57317726,36;56083073,74;57346119,04;55983618,18;59825521,59;60248295,58;62282837,70;61945262,29;67040904,62;64855550,27;62296601,12;63286461,04;59519497,81;56919443,64;64303782,20;58653592,38;61029465,44;60570154,04;68875313,22;63431089,54;71184944,90;67904738,06;66154656,02;69633608,48;65404528,85;63826738,63;67487464,12;61645681,61;62462064,14;57871290,66;69470342,12;75248969,94;81391782,99;78913005,23;72003178,02;71035069,79;70839081,49;73782273,82;77363261,86;76436390,30;93102536,69;98388561,28;110303064,08;109782046,07;108886786,43;101698436,48;8882781805,96
"35 São Paulo";74734672,12;121839337,46;127455448,18;131100111,13;152350771,70;153177296,48;158706161,37;151001474,34;153898872,48;146454882,56;137387748,71;156499943,26;149360217,83;152506400,48;173160328,57;165652990,42;176949482,16;177300712,62;180482083,46;190836728,82;179905556,08;181654620,56;179368208,07;170908306,45;175022802,10;165060228,51;184868190,03;188510197,12;187575454,25;184166172,50;187457532,41;191689833,47;191041810,80;180443004,99;194382046,33;191157550,99;183776238,64;185883783,31;194893008,60;189910890,31;196197351,88;188403105,52;201798088,44;197621047,99;197622601,66;197011130,95;196553289,51;195844007,12;189760614,16;185521676,75;200577297,05;193062183,48;203616771,05;194015931,23;201748544,71;208997061,94;198032632,04;200914101,02;195376117,23;182792929,99;199368830,60;194490477,17;198214530,37;212856666,80;216809460,34;207076846,44;215662796,75;223865480,77;217464383,16;223592121,05;205465857,71;197997884,72;213520251,01;204145704,14;207192979,28;212974435,47;221913065,35;216530918,53;232692856,41;233393642,62;223011387,11;223975406,31;215375915,11;210408748,00;216558388,58;202987177,97;222458717,81;219460983,01;223859230,03;224375690,97;228967914,41;227416130,20;222418614,01;217319155,29;209577694,37;215476345,44;207817368,71;210288967,47;222174622,33;219847317,46;221764683,39;232706709,03;233907580,18;230601362,51;226190440,70;218611620,48;218320721,73;221308905,39;214433689,40;204246217,29;228733037,85;214652605,62;239151746,90;217427680,99;239977679,45;238073390,23;224172339,88;228327142,01;223984346,69;223504716,44;224521408,84;214973277,62;228103379,34;230899547,58;233634140,10;230066381,16;232636364,82;238110129,92;225358518,49;235270642,53;225309335,72;224958139,19;240570186,12;223710896,35;229426971,88;238377856,67;242384190,06;234644316,12;244348811,69;252308226,89;240731644,52;250804128,36;236884973,94;230978995,96;246665547,37;233578887,39;239794737,06;205146135,24;222981811,15;252410400,34;304223869,20;288846740,72;290845280,25;283973510,29;273823281,65;270436067,52;293417358,67;287326546,25;336077347,29;346449901,63;366874015,99;377644751,08;379315637,93;328079700,38;35200023154,10
"41 Paraná";31353259,16;45551366,47;43959065,74;42906456,53;44491758,83;47237477,65;47623743,05;46691538,98;47057820,95;46536586,68;43349533,28;52286246,38;52876201,37;49546785,07;53433234,67;52739961,21;53747228,09;54172714,51;56535318,49;55893860,57;53719872,10;54190778,32;54204140,69;54729652,59;53656059,62;50748816,46;57620459,90;57423073,07;58622667,71;58623763,42;58852867,96;60776675,57;59452194,18;59404540,31;60826700,97;59487587,24;60447392,30;57659560,24;58977431,57;61253531,87;60445889,79;61542530,55;64582510,55;64266044,75;60201477,77;61894732,20;61135449,92;61625266,80;60767755,92;57923545,84;61385228,12;60634485,60;66638165,39;64669077,05;65499354,50;67226331,90;62581448,36;66474929,66;65248717,86;61045758,79;63801979,11;59774152,71;64253693,08;69732141,81;69671874,10;69151537,13;70088854,03;70242317,45;72022691,48;70345614,07;69726945,04;66053601,82;66987264,04;68226195,98;66698131,15;68035123,58;72074771,47;70235442,59;72403308,88;74750660,94;74807837,07;74680495,52;72666146,16;68207093,50;69768377,53;67232068,71;72946933,18;72247204,14;73907873,95;75165258,82;76567816,99;79174008,96;75839672,78;76601416,31;76476220,54;76403515,51;74996232,92;74257826,59;79700523,98;78619592,01;83752905,05;82887576,54;86570480,80;84994858,88;85881969,73;83916470,18;81944924,49;82210357,20;81568251,79;80647976,99;87240524,47;86913015,88;89098286,44;88446743,84;92985763,85;94123309,63;89194287,42;91943460,59;91759696,44;91977745,74;95227952,88;87782928,46;92526624,36;95696519,64;97011430,60;97847059,98;99813242,45;102645780,64;98813686,01;99984031,74;99838987,16;94168586,18;98320918,72;96093220,08;99002977,45;96319336,49;101040580,88;100324941,69;100324160,38;101168298,09;101706928,28;105558532,88;101957763,18;95124604,68;98607604,83;102385982,75;94243143,18;76504813,73;87204737,20;79008008,77;89566350,73;105620686,32;100687350,27;106215546,22;103627218,53;99924922,08;101775462,59;109438214,98;116489177,10;129600667,31;137679424,92;148965836,74;151689447,35;147664376,34;12522255711,51
"42 Santa Catarina";13408198,10;20849369,60;21751063,94;22341564,94;21822283,19;24298106,69;25174781,67;25678817,69;24456439,32;26161389,15;20485070,93;25007638,14;28968225,04;23596198,32;28187558,29;27553764,72;28751562,97;28331544,17;30962592,77;30616398,95;30682050,52;29257775,42;30513365,46;27753317,84;29347254,94;24746011,55;28452600,09;31045266,86;29352241,80;29778767,41;30415186,13;32129634,93;31234113,88;31860417,87;32410854,23;31313861,09;29498521,05;29454772,44;30478089,40;30902099,02;34464783,02;33203598,14;33467361,71;33589965,35;32947505,95;34852659,89;34092291,76;31557153,96;32726520,30;29533557,49;33110901,14;31812563,86;35075273,32;35345759,95;35959124,16;37927283,71;34853277,58;36140620,80;33446131,55;31303476,11;33733386,93;32368865,97;34630417,03;38459827,76;37934049,91;37636311,09;40023462,54;38527994,58;40183463,63;40871320,72;40812093,31;38300940,97;37803821,02;37065588,34;38674646,46;37652529,98;40722744,61;40910066,47;42697834,63;45949600,74;45521988,01;43497750,42;41069781,92;39909767,17;40605984,31;38713733,98;39438996,71;41508133,31;41106092,98;43593869,51;45781085,37;44426416,91;45196096,84;43559708,53;41847392,08;42700105,88;40665502,10;40675204,62;42063403,43;44023868,32;46724977,57;46090220,82;45291787,50;47378143,89;46272277,54;46306302,54;44074659,57;40500639,30;45799497,72;39559772,69;46166076,45;42653337,71;48322584,49;46692116,30;45776744,21;48505686,79;45102263,90;45758750,79;44589604,17;42837702,78;42807047,84;41048959,83;46883606,37;48253838,14;48036961,08;49198711,38;48636799,86;50106970,26;49333492,13;50205398,47;47475219,50;44133856,93;47020813,39;45814160,97;46468913,95;48587548,74;51628833,75;50471775,22;52950808,52;54679860,70;53594044,27;53758703,29;49713777,02;49552036,51;48003884,34;50708990,34;49444118,78;41458371,71;44404147,48;46603035,96;49649455,78;53277963,14;58428143,30;56354525,62;55623341,38;57649570,36;59400148,75;61913718,82;66866391,88;68928795,14;69822856,06;78697828,49;80175010,90;76837226,93;6644315239,37
