 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços profissionais por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";1340500,21;1963362,99;2117027,15;2115626,25;2319956,98;2139332,83;2349155,92;2242444,91;2357361,63;2184105,14;2263717,55;2075362,61;2088231,14;2261723,42;2543499,32;1961354,34;2751632,10;2613359,01;2717237,25;2795077,28;2776862,55;2796023,44;2859590,49;2903258,80;2785858,50;2598936,88;2960059,37;2928509,91;3102308,02;2845265,63;2868478,99;2970191,82;3022098,58;2832319,90;2916873,96;3144789,34;3027919,24;2949122,54;3164250,96;3175576,13;3244433,02;3381786,52;3491751,59;3190613,85;3570874,48;3371526,62;3020121,41;3643735,56;3098679,94;2826446,77;3663000,24;3434071,19;3291366,81;3189222,77;3650479,28;3571091,37;3271188,00;3204997,63;3295048,78;2996877,40;2889076,93;2744583,52;3321962,21;3667469,42;3674285,49;3830874,34;3521633,52;3699262,27;3866599,85;3657109,75;3580214,69;3285228,96;3152772,80;3281089,53;3528868,57;3530952,74;3952266,87;3647838,21;4069929,76;3694155,02;3585640,12;3840411,63;3704098,34;3302832,96;3538783,33;3275201,61;3878374,79;3640096,18;3915674,25;4168932,94;4358624,60;4235530,93;4231191,58;4290159,68;4046617,97;3624417,33;3772487,09;3492890,80;4063145,49;4003234,05;4316761,22;4328225,47;4077435,51;3641973,69;2874898,83;4072986,39;3838611,22;4148213,60;3891612,29;3569008,23;4031860,25;4110115,02;4325782,50;4051006,01;4326650,31;4400190,02;4108900,17;3956489,20;3793121,47;4036658,28;4086961,42;3883833,75;4361564,24;4585141,13;4628712,75;4446105,01;4661416,42;4602922,51;4450409,12;4612339,62;4474361,88;3803082,06;4633556,12;4457204,89;5020805,07;4763189,69;5053566,15;4704589,92;4814865,77;5052633,02;4905725,67;4786261,22;4982307,98;4523808,46;5053938,68;4754748,83;4844739,16;4057131,61;4167394,68;4566801,99;5207118,16;5584229,16;5620141,25;5536409,59;5243624,05;5064409,04;5788775,81;5395125,16;5787834,66;6994175,14;7119753,22;7264611,34;6851422,35;6360121,32;4834240,18;624092805,36
"25 Paraíba";2142013,96;2335288,16;2465806,55;2587391,87;2498907,90;2483837,66;2607419,44;2645457,58;2561276,98;2679049,85;2523812,69;2809965,60;2822556,53;2830870,54;3155638,67;3171800,80;3381546,39;3203223,04;3243684,24;3146954,20;3281214,18;3138383,68;3276920,59;3156891,65;3142281,21;3049324,40;3308810,23;3350863,18;3371481,66;3268107,52;3421777,89;3379608,73;3235239,28;3159060,38;3165245,88;3186466,76;3075224,76;3196728,88;3383262,81;3231988,27;3257681,01;3042061,34;3365433,46;3274139,37;3269560,26;3189860,31;3197170,83;3184563,39;2811552,54;2920937,68;3256217,96;3200917,27;3371133,94;3134004,76;3229978,98;3413988,83;3458540,58;3137887,45;3347886,53;3092791,24;3214679,49;3006246,65;3431276,83;3602353,11;3680254,85;3544179,31;3579455,65;3678922,84;3666752,76;3557710,13;3310716,12;3513536,88;3403202,55;3419005,24;3139547,83;3813166,29;3459404,58;3443158,08;3418769,62;3652986,75;3693839,37;3688763,43;3473511,66;3833239,05;3327354,38;3115499,82;3581591,34;3536580,25;3502276,90;3690290,65;3711078,29;3638612,79;3681538,42;3670506,32;3148836,07;3224014,63;2960434,65;3751955,87;3562717,79;3500518,66;3691740,84;3660838,53;3518098,42;3866824,20;3630578,79;3515385,02;3390088,16;3390518,41;3423823,49;3230296,14;3659503,10;3640915,73;3914707,79;3743392,93;3797877,36;4034599,50;4077289,66;4034405,23;3924306,37;3911185,29;3578548,21;3589930,92;3802208,93;4047175,01;4105733,02;3979114,73;4089350,59;4089994,01;3888423,01;3885413,38;3967323,63;3743421,80;3887776,23;3796787,00;4037572,09;3967894,24;4391330,32;4062348,16;4185191,87;4338308,33;4148204,10;4105098,48;4072625,68;3887968,22;3531574,27;3688826,84;3806035,64;3455955,90;3193904,03;3671896,23;5111401,67;4523697,95;3927880,02;4027101,13;3872515,03;3695179,66;3915890,87;4209495,70;5065744,29;5551867,28;6309720,38;6252716,67;5567346,15;5353584,98;4573628,27;587070258,10
"26 Pernambuco";2990326,15;5277004,49;6330361,11;7675621,07;6951919,39;6867667,64;6917118,56;7527480,55;7351283,02;6440747,65;6749845,02;8088856,43;6589002,11;7294685,64;7788768,85;7844402,14;8215472,69;8049046,97;8021772,51;8010738,32;8140770,53;8387716,40;8264949,39;7968539,58;7499455,84;7258200,51;8002895,68;8574485,29;8538824,64;8320689,65;8289122,60;8654442,95;8066295,64;8947792,89;9365443,11;8987316,02;8786887,35;8850286,97;8518241,04;9953302,10;9670328,86;9443718,72;9884737,27;10011712,41;9678370,25;10455993,87;9381787,93;9353013,71;9589509,59;8952776,69;9576216,14;10387198,16;10223360,31;10763504,70;10137350,98;10449894,93;10156722,35;9936631,71;10573770,82;9786053,01;9842804,27;9985569,77;10962669,13;11140814,84;11547381,11;11635767,64;11692056,19;12191603,42;12470546,73;12801606,88;11241880,79;12940112,27;11372301,67;11358044,11;11297210,28;12356951,86;12547154,98;12023421,95;12505910,49;12519778,27;12891526,82;12851124,27;13086242,94;11825278,35;11690805,75;11409113,41;12231768,36;12302093,37;12854385,65;13206830,54;12799689,17;12829237,86;12364492,60;12097214,98;12828379,72;11507266,71;12046783,06;11685399,55;12488766,41;12289081,47;12993948,99;13143002,53;13312357,36;13117672,84;12948863,17;12669718,53;11767244,55;12388408,25;12594583,19;12132154,36;13793123,24;12906560,45;14368906,70;14346673,14;14165618,92;14006275,79;14042766,30;13534369,90;13019201,94;13561703,42;13012934,81;11943871,77;14043553,98;13667382,70;14534541,05;14125242,56;14496141,53;14218979,94;13745980,98;13655451,36;13284721,60;12785434,48;13414768,00;12924541,85;13298973,05;13221365,10;14292302,13;13655750,40;14471550,37;14064765,45;13974847,41;14715835,06;14245147,21;13071031,29;13726977,87;12958728,80;13379831,33;9654335,82;11047926,44;11744466,25;13819697,65;14048208,55;13564750,61;13167710,75;15089585,40;13635371,36;15160534,52;14435825,61;16188995,45;18849947,49;21801365,32;22262953,12;20552688,25;18816296,43;16101053,24;1904175016,45
"27 Alagoas";1430508,65;1871632,57;1883744,78;2164497,81;2158153,05;2334198,35;2253151,38;2123340,04;2147431,42;2345945,42;2146414,58;2265087,43;2128815,39;2151318,83;2476819,55;2700037,46;2726548,27;2542709,57;2456358,09;2320275,76;2569856,75;2662252,51;2579581,65;2629597,15;2635638,45;2312619,14;2699304,94;2906381,63;2724085,34;2605462,66;2849564,02;2696652,56;2779827,09;2658653,25;2769974,30;2706884,11;2693773,41;2700410,19;2566841,79;3080877,02;3003526,78;2812033,43;3096400,74;2975855,99;2961853,52;3097480,69;2758438,10;3414849,70;2536982,31;2668480,91;2744576,88;2572637,75;2920900,04;2992267,83;2956696,77;2763650,48;2830306,48;2907931,58;2535834,82;2817341,91;2562531,48;2854691,65;2882464,36;3112825,19;3200810,03;2946682,99;3289733,46;3066385,14;3183252,47;3350335,44;2933241,96;3050622,75;2892577,10;2709889,32;2713864,34;2843976,91;2938385,38;2847799,35;3067858,56;3088902,88;2979004,33;3064020,93;3055317,53;2821541,77;2956423,80;3000496,51;3149888,26;3053660,02;3476685,22;3234467,43;3476315,35;3425320,44;3340523,55;3012552,26;3023802,74;3041565,14;3130008,13;3103989,21;3171276,08;3153527,74;3318762,97;3440344,11;3447228,07;3403132,48;3435644,30;3187166,82;3204240,09;3097741,50;3156737,70;3140263,19;3405933,33;3424099,48;3539543,36;3481346,07;3725738,51;3696767,06;3529313,73;3620673,66;3379512,32;3406585,28;3482352,09;3449215,37;3449271,08;3687758,31;3699671,06;3480163,94;3909387,80;3559490,02;3792135,28;3626716,99;3586454,62;3449202,62;3380457,43;3685225,00;3745187,43;3526682,40;3660826,46;3843059,40;3952778,25;3777801,78;3612033,76;3676031,41;3658726,56;3484461,53;3617337,93;3348972,58;3399259,58;3234778,85;3067934,41;2984232,64;3624059,79;3957703,60;3590440,48;3844554,03;3849667,36;3648562,37;3668883,45;4020821,29;4228210,97;5254209,30;5433284,05;5204427,04;5289593,64;4517859,72;3649015,78;516680163,75
"28 Sergipe";710751,38;910413,85;1234820,05;1272103,68;1247902,67;1318686,49;1367331,30;1278765,17;1391082,68;1224348,77;1102497,18;1082296,58;1111600,61;1034784,68;1318184,16;1482069,35;1648853,01;1370000,78;1422996,25;1365424,78;1557395,19;1437641,88;1572046,28;1387298,81;1436556,12;1252677,41;1405548,50;1770763,34;1853494,94;1410066,29;1700813,62;1732786,63;1661013,73;1533876,53;1799592,24;1401632,33;1745077,18;1446476,90;1733081,60;1664750,25;1661290,46;1500348,66;1704236,90;1853690,45;1681748,21;1752893,26;1556432,49;1538083,19;1624775,67;1509334,81;1824947,58;1938527,12;1744741,58;1958920,80;1749990,40;1815960,00;1623886,29;1754866,79;1607170,46;1509886,09;1568468,33;1703385,90;1987220,11;1930908,76;1838597,99;1546329,01;1957673,06;1749056,58;1704451,71;1598433,41;1626317,16;1561309,41;1593939,87;1621978,36;1659217,24;1684897,84;1776402,39;1824554,02;1719826,67;1594021,54;1775428,77;1740393,10;1758518,35;1568316,35;1830342,37;1659174,96;1873817,58;1986935,26;1989188,68;1890160,17;2108865,95;2091948,91;2024650,96;2017236,49;1860959,18;1695594,11;1835232,16;1663310,45;2007133,89;2080712,36;2140144,56;1974911,97;2233188,81;3233110,76;1483203,90;1515378,34;1579322,62;1659610,39;1762599,66;1692752,88;1721250,83;1817362,45;2078141,77;1939781,88;1945999,46;2179897,48;2057567,51;2096072,47;1845066,38;1826528,21;1830448,07;1720369,41;1920589,43;2013583,57;2224731,03;1929586,73;2182178,72;2196398,84;2108773,74;2233170,73;2082286,32;1915228,67;2133633,06;1994811,31;2165802,40;2308576,81;2421205,17;2154741,04;2221868,94;2150700,27;2116547,51;2231019,33;2096461,84;1877776,07;2122412,39;2195418,62;1888433,59;1884845,61;1809121,59;1882478,60;2280808,11;2384290,34;2254503,23;2476627,85;2557941,01;2339907,21;2436951,11;2639274,82;2760116,28;2885615,81;3275812,86;3611823,98;3441370,26;2741128,88;2342039,16;303237446,46
"29 Bahia";4709120,28;6151206,09;7582480,06;8697853,38;9460549,17;10550648,24;10320161,45;10345755,42;9849840,02;9368424,06;8205998,21;9498800,03;8525225,93;9279221,65;10883085,59;10792121,45;10482995,82;10614465,63;10871601,21;11017900,03;11710659,23;10923451,57;10867604,28;10515831,52;10673415,28;10211780,35;11653966,99;11599869,76;11248496,26;10421378,23;11298673,68;11886550,79;10947635,49;11198783,38;10993734,97;10800429,87;10797640,28;10713809,38;11840915,95;12387388,31;11199594,50;11711276,79;12533128,48;12377702,04;12250001,76;11932280,35;12161495,62;11273844,39;11158088,67;11214461,04;13304520,22;12217273,09;12974245,93;12411031,34;12314018,76;12506900,24;12087610,91;12425723,95;11564111,34;10750773,07;10828402,16;10472316,41;11832226,03;12604337,88;12889768,22;12385227,79;13894060,54;13690375,33;13236195,62;13879508,87;12555521,59;12388005,10;13217659,51;12731237,00;12806319,92;13022568,75;12891563,40;12877671,00;14003343,33;13904579,59;14267723,07;14271358,06;13012352,47;12786399,20;13360093,97;11946741,91;13999482,47;12634172,10;13702510,52;13426047,73;14202564,52;14707356,61;14923885,51;14678848,72;14889413,51;12956543,89;13497705,48;12667993,61;13969060,06;14438330,06;14986041,05;14264575,86;14856133,06;14841284,94;14995562,49;14249703,30;13112127,72;13099357,84;13061894,73;13521942,51;14223179,59;13781154,59;14578489,25;14974499,24;13590966,41;13480077,79;14922227,67;15629487,53;14492535,80;13403721,06;13946961,88;13204660,34;14013948,09;14952659,05;15271450,77;14191405,50;15232160,67;15672395,51;14699272,66;15489998,51;15236044,34;13773981,05;14314416,14;13577363,20;14801975,79;15227771,66;15568194,68;14705027,65;16070622,61;16083530,66;15318085,37;15365986,60;14766203,30;14410480,73;14648826,14;14521262,25;14873289,34;12601159,26;12796015,93;13376156,73;15751630,82;15921302,43;15733581,22;15958301,26;16749423,80;16388567,04;15531538,81;15872787,29;19117128,66;21042824,63;21045272,42;23048937,43;23552656,90;20233635,81;18232010,36;2177672891,01
"31 Minas Gerais";8934421,36;13496199,75;15171796,50;14952498,15;15498319,48;18046311,74;16434585,62;16415187,91;16272669,63;16442405,94;15175201,85;16662236,07;17353182,93;17132354,73;18141898,29;17959947,10;18770170,04;18259498,71;19351250,46;18728261,62;18411851,28;18648475,05;19175655,97;17951350,12;18570766,20;17224105,08;19433591,16;19200595,22;19679333,01;19398842,21;19755661,54;19799908,77;19120896,08;19201449,89;20355465,95;20841606,42;20088505,42;20352394,63;21310610,48;21519054,86;22237283,18;21568261,91;23146828,81;22952429,23;22636938,17;22067386,79;21964250,82;21870500,15;22069510,71;20763836,77;23664299,36;21885376,79;24007919,26;23244738,03;23859679,91;23760803,02;23264101,77;23657486,61;22011665,70;21935851,32;22901793,83;21662762,45;23640679,40;23919887,06;24735833,11;24697310,97;25736356,10;25311113,09;24867829,52;26034028,74;25126128,83;24275451,54;25735564,17;24489055,42;25386395,56;24287697,70;28283212,78;26001337,16;27336156,34;27207726,60;26832074,99;27659667,98;26849048,21;24557198,93;25238128,69;25440902,73;26266247,35;26530362,32;27333374,30;27356820,31;27397824,49;26534309,00;27795587,86;26318805,09;26290632,96;26140737,63;25600187,56;25020833,43;27497019,77;26071477,36;27049574,31;28017000,91;27205063,72;27381117,14;26627727,78;25571718,36;25565417,39;26911292,77;26090909,95;25146539,92;27851105,25;26009150,88;28383128,21;27676186,09;27850551,08;28760133,78;27361096,43;27274662,81;27621769,99;26803605,72;26890203,85;25952698,64;28537383,86;28183114,18;28320161,39;28116796,44;29069448,39;28730687,83;28672407,12;28087998,03;26801329,22;27166536,47;28355636,27;27674498,39;28521458,27;28904272,60;30183750,57;28691496,03;30864950,58;30347956,94;28951608,60;30668093,41;28211030,02;28488620,99;29137163,23;27990666,94;26686506,60;24458166,65;24793858,16;25700568,54;29527016,61;30233507,46;31215499,55;31743579,85;31123379,72;31010683,87;32003999,20;33169259,93;37112094,78;40743205,95;42561452,63;44689482,88;43538743,66;40827013,98;33354351,15;4119345318,78
"32 Espírito Santo";1117313,88;1940598,36;2155445,70;2315970,18;2116021,14;2722495,74;2695388,61;2525725,97;2634880,54;2667979,12;2433378,32;2717419,81;2399106,27;2717852,32;2940759,65;3028434,66;3314919,72;2956525,15;3019119,21;3240925,13;3132810,53;3200332,37;3026130,27;2787025,64;3079222,20;2862708,41;3076965,64;3013920,45;3283691,32;3134635,53;3255886,41;3165703,53;3251629,34;3315988,64;3377977,41;3565946,44;3458353,25;3323098,84;3917630,79;3626215,94;4059388,48;3650460,69;3806433,11;4140098,00;3870199,06;3835350,08;3760617,50;3708553,57;3684668,39;3617606,08;4051127,56;4015449,70;3837083,00;3945112,78;4106489,17;4161953,04;4183783,03;4062086,60;4041072,60;3870463,24;4065691,19;4043976,34;4314852,46;4225121,13;4374520,62;4180898,25;4274258,72;4209470,65;4187640,07;4215693,44;4195014,15;3862461,66;4009002,88;3972144,02;4051966,04;4112300,78;4561874,99;4257140,91;4620959,69;4471177,22;4409267,29;4641822,83;4446111,37;4162348,46;4093496,98;4107481,06;4637596,40;4334265,17;4478751,50;4603567,76;5101411,89;4807678,08;4265608,38;4719612,67;4796012,81;4375223,40;4696445,10;4571388,83;4832451,01;4893135,76;4819208,52;5167070,73;5028337,06;5277225,92;4920032,80;4848038,78;4783944,95;5077894,78;4748471,87;4699842,09;5032625,43;4974889,21;5188252,50;5311160,63;5229404,79;5206164,66;4966294,01;5162177,26;5222740,71;5058412,94;5237270,79;4889058,26;4837377,52;5168226,79;5452035,86;4932533,09;5112976,90;5153690,30;4876112,83;5047122,23;4990372,56;4927374,81;4856844,65;4887783,97;4808405,91;4902738,35;5505098,98;5298023,48;5833451,72;5569778,99;5405860,17;5749245,64;5211088,47;5361502,58;5473705,57;5212766,37;5346556,16;4900483,58;5261921,46;5155373,01;5785338,72;5574503,74;6672044,54;6264923,88;5822376,78;6285376,71;7044209,15;7364607,60;8258062,98;9113060,36;9139091,81;8777606,42;9194857,78;7761740,02;6806580,03;736055321,23
"33 Rio de Janeiro";3762632,35;4813094,48;7829693,24;7294078,16;7995737,57;8752123,87;8785986,14;8882008,71;8738849,91;8352566,26;7093714,01;9040681,32;8292173,63;8281243,59;9180855,78;8966070,97;9833912,56;9250388,40;9982397,85;9873586,29;9641122,10;9338828,03;9781504,86;9240494,52;8755288,38;9318030,69;10461674,63;9582108,27;11105619,82;10490514,42;10893663,57;11044365,62;10448563,65;10386826,80;10649446,56;10944314,28;10333395,20;10645573,65;11133406,57;11446018,71;11843979,72;11280592,57;11523486,04;11230701,14;10848147,16;11079159,71;10788381,88;11241432,67;9935978,41;9958948,67;11707870,89;11092327,81;11662033,57;12001437,64;12328320,53;12234004,21;11159559,91;11623380,08;10769946,11;10048735,32;10306259,97;10427226,70;11355890,92;11546581,35;12288291,14;11478433,56;12486267,79;12467178,53;12348037,24;12017247,98;11690515,15;11194109,36;11255428,98;11704286,01;11416752,04;12251112,13;12790171,78;11755026,35;12963037,79;13338121,27;13017922,40;13346148,38;12522410,46;11682554,85;11985345,71;12363993,66;13445222,98;13614826,65;13365955,08;13310919,04;14519350,80;13562050,18;13599367,68;13531860,96;12731498,86;12530138,45;12452222,83;12368944,50;13534808,45;12807972,30;12809710,37;12527991,32;13431821,37;13149639,52;12539631,17;12200164,55;12012052,48;12638051,87;11720582,06;12220503,58;13781243,29;13063689,84;14719746,43;14276632,51;14889078,08;15236196,88;14165424,87;14618432,62;13907249,54;13796567,72;13787585,99;13814378,83;14890845,37;15033410,15;15285222,39;15176610,06;15983906,35;15476354,02;14858409,52;15387231,09;14461342,51;13533014,46;15247199,92;14305856,58;14698489,67;14424761,82;16427827,61;15109943,95;16800453,68;16457530,95;16123530,35;16473279,47;15347834,20;14741547,12;15698265,66;14470521,61;14540437,27;13533333,01;15652429,59;16485794,37;17939569,02;17411406,18;16278362,54;15913163,47;15958474,60;16690839,70;16983781,43;16526697,07;20229775,93;20835875,01;23454064,67;23159100,02;22948940,02;23023991,71;22342091,56;2104002360,29
"35 São Paulo";16943801,36;26838189,36;28631821,05;30127014,30;34768625,94;34113829,59;35692238,11;33853042,01;34737487,07;33251584,44;30602603,82;35357374,57;33436976,52;34348894,34;39617530,91;37533123,59;40091049,54;39894537,29;40279074,05;41699991,32;40387417,58;40333330,77;40749272,83;38186098,95;39542972,56;38055944,68;42380190,03;43033401,54;42613349,17;41854899,64;42205110,93;42840784,65;42411642,62;40684114,43;45407999,16;45771593,69;43757098,63;45178423,63;47054453,56;46532526,47;48267306,08;45776299,78;49102055,12;47812108,24;47854871,01;47193194,04;47520839,66;46520972,71;46079353,89;45194377,49;49156665,39;47317982,54;49619145,23;47109976,91;48684543,69;50609996,07;48517281,32;48716875,70;47305593,65;44090156,45;47817387,39;46731687,75;48657879,01;52005372,56;52775368,16;51022516,28;51853796,12;54355847,04;52631957,56;53754971,37;49830700,67;47574798,93;51073246,72;50145854,80;50873687,15;51710634,17;54199572,29;53060431,73;55940991,70;55895627,57;53868166,18;53788763,93;51761012,83;50001286,51;51379934,31;49206356,21;53963966,91;53350979,61;53965991,25;53993393,84;54714697,59;54476485,26;53502319,19;52714101,60;50192375,89;51571223,17;49856261,10;50778318,35;54386703,97;53564801,02;54241013,02;55909147,89;56032002,12;54902498,05;54434477,09;52468894,35;52138106,30;52413362,59;51233549,40;49557371,14;55672081,08;52608037,30;57699053,95;53167894,12;57224625,46;57421327,88;54488836,19;54712361,76;53916757,41;53798330,40;53733717,42;52258194,12;55727823,13;56080104,14;56677950,23;55023040,23;55656075,05;57463766,83;54383584,18;56320661,14;53715213,48;53558359,21;56620438,94;53917340,43;56087669,41;57408569,20;58597770,94;55826833,98;57877817,03;60045980,31;57102871,07;59547593,66;55837758,09;53543070,23;57711849,11;54916481,38;56427616,14;46045851,33;49386115,06;54310238,62;63365638,50;61003890,72;62778252,70;61319109,77;60568503,03;59361988,80;62500998,21;62098676,25;70505014,68;79645579,49;86195548,97;87094969,02;85615388,80;78004774,72;67875743,74;8359982636,35
"41 Paraná";6913088,30;9833304,05;9842253,11;9553850,16;9927861,88;10574210,83;10470498,78;10291235,92;10491261,31;10585300,73;9768403,33;11624663,08;11646864,67;11236942,32;12200338,64;12019414,57;12154987,32;12108038,49;12623284,83;12362712,84;12123952,63;12203633,94;12191417,50;12341161,58;11836759,13;11488907,99;13082077,88;12951620,54;13435512,98;13311784,40;13519001,43;13931380,12;13333714,72;13447210,16;14769024,55;14878509,74;14662921,17;14469056,71;14782551,25;15345498,46;15214762,89;15715645,43;16259541,04;16351475,10;15348196,90;15698940,80;15409028,27;15633036,48;15271774,67;14884336,17;15691655,12;15509059,50;16698825,45;15980443,97;16428233,40;16903731,85;15952054,92;16801070,93;16332831,58;15218692,78;15698059,82;15254031,52;16436826,96;17357754,30;17712875,38;17533782,79;17666964,90;17799727,90;18320402,10;17765489,09;17849182,86;16525940,59;16591219,45;17207375,78;16941095,12;17160735,72;17939369,27;17620312,82;18183838,37;18760817,38;18615572,79;18701687,91;18127417,16;16761647,57;17035530,35;16937653,29;18108622,37;18045027,94;18433451,82;18669229,99;19101851,30;19712412,14;19162764,81;19122702,87;18963285,06;18978387,66;18593816,57;18667332,33;20236432,13;19722798,53;20733660,40;20488410,58;21769079,81;21460370,92;21452919,29;20886657,62;20297602,60;20006747,76;19768187,95;20258604,38;21679653,65;21789421,91;22263972,71;22247252,87;23323299,86;23452689,02;22443920,58;23111028,17;22606787,18;22540682,67;23253628,33;22149049,27;23968702,78;24277350,69;24285760,81;24255513,63;24672848,19;25137975,28;24530618,91;24555207,27;24573496,87;22801687,79;24117340,30;23679119,52;24119575,99;23613775,90;24679848,76;24655615,80;24845377,44;24926834,89;25240707,14;25987963,31;25048489,17;22658264,46;23747836,41;24619389,18;23068708,35;18097740,66;20301457,56;17973278,68;20153617,09;23908536,16;22014912,99;23432327,75;23184020,56;21799935,54;21751432,26;24197925,77;24577123,41;27085034,77;28523957,87;30708283,04;31020386,83;30223862,46;21499889,31;3036166335,08
"42 Santa Catarina";3096715,35;4802059,51;4992460,95;4839923,32;5023024,99;5611655,35;5614354,17;5572036,64;5563237,61;5796214,44;4630413,93;5770513,87;6362551,34;5407035,08;6478102,82;6281966,72;6488919,95;6228247,93;6854841,62;6642708,03;6698332,41;6524788,27;6831740,31;6133902,97;6617856,26;5753817,25;6654029,40;6970948,93;6723720,76;6770790,39;6995458,33;7108906,04;6847776,26;6929459,57;7416729,75;7500696,41;6917342,86;7266736,17;7518042,94;7519545,30;8370879,86;7985434,27;8290856,00;8094515,83;7975372,22;8349467,64;8380280,33;7763992,19;7765735,79;7488487,18;8372754,57;7970462,31;8730182,59;8700519,32;8708480,67;9414253,13;8506468,22;9015525,84;8127647,78;7566226,18;8319092,20;7975445,71;8569536,13;9677350,47;9668938,81;9692078,35;9912122,23;9741890,07;9989980,91;9936051,22;10141112,57;9425360,87;9614857,84;9547511,62;9629288,18;9557451,80;10221595,93;10225245,16;10555360,39;11605097,76;11335998,56;10994346,16;10277396,37;9882231,72;10356222,83;9777536,71;10305741,91;10518957,32;10249664,20;11168348,88;11437784,99;11148611,24;11413299,13;11008854,67;10695289,21;10594421,37;10255352,14;10475451,29;10928976,61;11028131,67;11737445,49;11668739,98;11358838,07;12100554,44;11511684,97;11449522,86;10879795,85;9999355,92;11079466,02;9747583,54;11604822,49;10751830,24;11967972,26;11664963,87;11438017,44;11912984,16;11088150,03;11065556,36;10822117,27;10827029,48;10809583,91;10182694,15;11806471,21;11855643,09;12160328,46;12424305,18;11883034,46;12094723,21;11961716,80;12402470,13;11674218,30;10974912,92;11650850,20;11477929,01;11650305,04;12044788,46;12773438,12;12396445,00;12980905,21;13251092,35;13043103,19;13514800,31;12339172,46;12278349,75;11915352,91;12634943,59;12144779,74;10140106,33;10775378,19;11277744,00;11525090,65;12108937,62;13230313,25;12832246,42;12751321,97;13138053,84;13416752,48;13854567,71;15024915,09;15181731,21;14844230,95;16337732,59;16861757,42;17721532,45;14951923,48;1620170254,87
